Expert,Ecological Group,Strategy,NumSppScored
7,Burrow and den species,S6,1
7,Burrow and den species,S9,2
7,Amphibians,S4,1
10,Wetland and shorebird species,Baseline,7
10,Wetland and shorebird species,S1,7
10,Wetland and shorebird species,S2,7
10,Wetland and shorebird species,S3,7
10,Wetland and shorebird species,S4,7
10,Wetland and shorebird species,S5,7
10,Wetland and shorebird species,S6,7
10,Wetland and shorebird species,S7,7
10,Wetland and shorebird species,S8,7
10,Wetland and shorebird species,S9,7
10,Wetland and shorebird species,S10,7
10,Wetland and shorebird species,S11,7
10,Wetland and shorebird species,S12,7
10,Wetland and shorebird species,S13,7
10,Wetland and shorebird species,S14,7
10,Wetland and shorebird species,S15,7
10,Wetland and shorebird species,S16,7
10,Wetland and shorebird species,S17,7
