Strategy,Grassland species,Burrow and den species,Sand dune species,Wetland and shorebird species,Amphibians,Fish species,Healthy prairie landscape
Baseline,45.5,45.5,52.875,51.20253164556962,50.55555555555556,54.99999999999999,40
S1,57.66,54.588,61.035,57.643037974683544,58.733333333333334,59.11428571428571,54.22222222222222
S2,49.682,46.775,53.95875,52.46139240506329,53.955555555555556,54.99999999999999,43.513333333333335
S3,51.938,47.128,57.685,52.70126582278481,51.37777777777778,54.99999999999999,46.577777777777776
S4,47.18,45.332,52.875,56.667848101265825,59.403555555555556,60.99999999999999,45.6
S5,58.376,57.1,60.6325,58.588354430379745,61.51111111111111,60.38571428571428,56.11111111111111
S6,55,55.421875,60.5,57.75316455696203,58.05555555555556,58.57142857142856,51.94444444444444
S7,53.32,57.4,55.595,54.0946835443038,55.46666666666667,57.42857142857142,49.217777777777776
S8,45.5,54.629999999999995,55.9875,55.57316455696203,55.62777777777778,57.37142857142857,42.85888888888889
S9,49.26,56.924615384615386,58.75,54.53417721518987,53.16666666666667,55.671428571428564,41.775555555555556
S10,62.024,60.620000000000005,62.2575,59.93822784810127,62.135555555555555,61.171428571428564,58.3
S11,61.784,56.885,63.3975,60.94113924050633,60.522222222222226,58.44999999999999,57.096666666666664
S12,64.709,62.543,64.56,60.94303797468354,64.36222222222221,61.514285714285705,59.31666666666666
S13,60.185,57.269999999999996,63.325,60.357594936708864,62.28888888888889,60.89285714285714,55.27777777777778
S14,67.58,65.34,66.795,62.528101265822784,65.84444444444445,62.771428571428565,61.404444444444444
S15,64.372,62.244,65.055,61.87088607594937,64.74222222222222,63.39999999999999,59.28888888888889
S16,66.057,63.922,66.67625,65.47962025316455,64.99222222222222,64.58571428571427,60.80777777777777
S17,68.732,66.158,68.22,67.45189873417722,67.05555555555556,66.3142857142857,64.56666666666666
