Ecological.Group,Strategy,Wt.Best,Wt.High,Wt.Low
Grassland species,Baseline,45.5,57,29.5
Grassland species,S1,64.5,74,44.5
Grassland species,S2,53.7,63.2,37.8
Grassland species,S3,54.2,64.2,39.3
Grassland species,S4,48.5,59.5,33.5
Grassland species,S5,67.7,77.7,53.2
Grassland species,S6,64.5,74,47
Grassland species,S7,57,68,40
Grassland species,S8,45.5,56,32
Grassland species,S9,49.5,59.5,36.5
Grassland species,S10,76.1,85.1,60.1
Grassland species,S11,69.1,77.6,50.1
Grassland species,S12,79.2,87.2,64.3
Grassland species,S13,72.2,81.2,55.3
Grassland species,S14,80,87.8,64
Grassland species,S15,79.2,88.2,63.8
Grassland species,S16,79.2,86.7,59.3
Grassland species,S17,80.7,88.2,62.3
Burrow and den species,Baseline,45.5,56,29.5
Burrow and den species,S1,59.7,66.8,43.2
Burrow and den species,S2,48,57.5,35.5
Burrow and den species,S3,47.7,56.3,34.2
Burrow and den species,S4,45.2,56.3,31.2
Burrow and den species,S5,65.5,75.5,48
Burrow and den species,S6,65.34375,75.21875,46.609375
Burrow and den species,S7,63,72.5,46.2
Burrow and den species,S8,56.5,65.5,42.5
Burrow and den species,S9,57.65384615384615,66,41.43846153846154
Burrow and den species,S10,73.5,82,56
Burrow and den species,S11,62,70.5,46.5
Burrow and den species,S12,75.4,83,57.5
Burrow and den species,S13,66.9,76.5,50.5
Burrow and den species,S14,76.5,85.5,59
Burrow and den species,S15,75.4,83.9,57.4
Burrow and den species,S16,75.7,84.8,57.4
Burrow and den species,S17,76.8,84.9,57.3
Sand dune species,Baseline,52.875,65.625,41.25
Sand dune species,S1,65.625,75,46.25
Sand dune species,S2,55,66.875,43.125
Sand dune species,S3,59.375,70,43.75
Sand dune species,S4,52.875,65.625,41.25
Sand dune species,S5,66.25,78.125,51.875
Sand dune species,S6,68.125,80.625,52.5
Sand dune species,S7,56.875,68.75,43.75
Sand dune species,S8,56.625,69.375,44.375
Sand dune species,S9,59.125,70,48.125
Sand dune species,S10,70.25,82.75,57.75
Sand dune species,S11,68.125,78.75,51.25
Sand dune species,S12,73.375,84,57.125
Sand dune species,S13,71.875,82.5,55
Sand dune species,S14,74.625,85.875,56.5
Sand dune species,S15,74.625,85.25,56.5
Sand dune species,S16,75.5,84.875,59.25
Sand dune species,S17,76.125,85.5,59.25
Wetland and shorebird species,Baseline,51.20253164556962,63.67088607594936,38.734177215189874
Wetland and shorebird species,S1,61.265822784810126,71.26582278481013,45.75949367088607
Wetland and shorebird species,S2,53.67088607594937,66.20253164556962,41.708860759493675
Wetland and shorebird species,S3,53.22784810126582,64.68354430379746,38.734177215189874
Wetland and shorebird species,S4,60.962025316455694,73.59493670886076,46.46835443037975
Wetland and shorebird species,S5,63.936708860759495,73.9367088607595,52.41772151898734
Wetland and shorebird species,S6,64.30379746835443,73.29113924050633,51.265822784810126
Wetland and shorebird species,S7,55.45569620253165,68.43037974683544,44
Wetland and shorebird species,S8,56.46835443037975,68.53164556962025,45.0126582278481
Wetland and shorebird species,S9,54.74683544303797,65.18987341772151,42.78481012658228
Wetland and shorebird species,S10,67.37974683544304,78.49367088607595,56.9746835443038
Wetland and shorebird species,S11,65.31645569620254,73.29113924050633,45.25316455696203
Wetland and shorebird species,S12,68.29113924050633,78.79746835443038,57.78481012658228
Wetland and shorebird species,S13,67.84810126582278,77.84810126582278,54.30379746835443
Wetland and shorebird species,S14,68.89873417721519,79.50632911392404,57.379746835443044
Wetland and shorebird species,S15,70.25316455696202,80.01265822784809,59.24050632911393
Wetland and shorebird species,S16,74.60759493670886,82.64556962025316,57.01265822784811
Wetland and shorebird species,S17,75.82278481012659,83.55696202531645,58.734177215189874
Amphibians,Baseline,50.55555555555556,62.22222222222222,38.333333333333336
Amphibians,S1,63.333333333333336,71.66666666666667,47.22222222222223
Amphibians,S2,57.22222222222222,69.22222222222223,44.111111111111114
Amphibians,S3,51.66666666666667,63.888888888888886,38.333333333333336
Amphibians,S4,66.35555555555555,74.22222222222223,51.13333333333333
Amphibians,S5,69.44444444444444,79.11111111111111,56.88888888888889
Amphibians,S6,65.55555555555556,76.11111111111111,52.22222222222223
Amphibians,S7,57.77777777777778,69.77777777777777,46.333333333333336
Amphibians,S8,56.66666666666667,68.88888888888889,43.333333333333336
Amphibians,S9,53.333333333333336,63.888888888888886,41.66666666666667
Amphibians,S10,72,80,59.44444444444444
Amphibians,S11,65,72.77777777777777,48.88888888888889
Amphibians,S12,74.77777777777777,83.55555555555556,62.77777777777778
Amphibians,S13,71.88888888888889,80.77777777777777,57.44444444444444
Amphibians,S14,74.44444444444444,83,61.111111111111114
Amphibians,S15,75.88888888888889,84.44444444444444,62.22222222222223
Amphibians,S16,74.22222222222223,83,61.111111111111114
Amphibians,S17,75.55555555555556,85,62.77777777777778
Fish species,Baseline,54.99999999999999,65,43.57142857142857
Fish species,S1,61.42857142857142,70,48.57142857142857
Fish species,S2,54.99999999999999,65,43.57142857142857
Fish species,S3,54.99999999999999,65,43.57142857142857
Fish species,S4,65.71428571428571,75.71428571428571,55
Fish species,S5,64.28571428571428,76.42857142857143,54.285714285714285
Fish species,S6,62.14285714285714,72.14285714285714,50.71428571428571
Fish species,S7,58.57142857142856,67.14285714285714,49.285714285714285
Fish species,S8,57.85714285714285,67.14285714285714,47.14285714285714
Fish species,S9,55.71428571428571,65,45.714285714285715
Fish species,S10,66.42857142857142,77.85714285714286,56.42857142857142
Fish species,S11,59.99999999999999,70,49.285714285714285
Fish species,S12,66.42857142857142,75.71428571428571,57.857142857142854
Fish species,S13,65.71428571428571,75,55
Fish species,S14,67.14285714285714,76.42857142857143,58.57142857142857
Fish species,S15,70,77.85714285714286,61.42857142857142
Fish species,S16,70.71428571428571,80.71428571428571,60.71428571428571
Fish species,S17,72.14285714285714,82.14285714285714,61.42857142857142
Healthy prairie landscape,Baseline,40,49.44444444444444,31.11111111111111
Healthy prairie landscape,S1,62.22222222222222,70.55555555555556,45
Healthy prairie landscape,S2,46.888888888888886,54.77777777777778,38
Healthy prairie landscape,S3,48.888888888888886,57.22222222222222,37.22222222222222
Healthy prairie landscape,S4,50,57.77777777777778,38.33333333333333
Healthy prairie landscape,S5,67.77777777777777,77.77777777777777,51.666666666666664
Healthy prairie landscape,S6,63.888888888888886,73.88888888888889,47.77777777777778
Healthy prairie landscape,S7,53.55555555555556,63.11111111111111,41.888888888888886
Healthy prairie landscape,S8,43.44444444444444,52.888888888888886,34.55555555555556
Healthy prairie landscape,S9,41.888888888888886,52,33
Healthy prairie landscape,S10,73.88888888888889,82.77777777777777,56.111111111111114
Healthy prairie landscape,S11,64.77777777777777,73.33333333333333,47.77777777777777
Healthy prairie landscape,S12,73.88888888888889,83.33333333333334,57.77777777777778
Healthy prairie landscape,S13,67.77777777777777,77.22222222222223,51.66666666666667
Healthy prairie landscape,S14,73.44444444444444,82.77777777777777,56.66666666666667
Healthy prairie landscape,S15,74.44444444444444,83,56.66666666666667
Healthy prairie landscape,S16,74.11111111111111,83.33333333333333,57.22222222222222
Healthy prairie landscape,S17,77.22222222222223,86.11111111111111,60.55555555555556
