"Strategy","Grassland species","Burrow and den species","Sand dune species","Wetland and shorebird species","Amphibians","Fish species","Healthy prairie landscape"
"Baseline",45.5,45.5,52.875,51.2025316455696,50.5555555555556,55,40
"S1",57.66,54.588,61.035,57.6430379746835,58.7333333333333,59.1142857142857,54.2222222222222
"S2",49.682,46.775,53.95875,52.4613924050633,53.9555555555556,55,43.5133333333333
"S3",51.938,47.128,57.685,52.7012658227848,51.3777777777778,55,46.5777777777778
"S4",47.18,45.332,52.875,56.6678481012658,59.4035555555556,61,45.6
"S5",58.376,57.1,60.6325,58.5883544303797,61.5111111111111,60.3857142857143,56.1111111111111
"S6",55,55.421875,60.5,57.753164556962,58.0555555555556,58.5714285714286,51.9444444444444
"S7",53.32,57.4,55.595,54.0946835443038,55.4666666666667,57.4285714285714,49.2177777777778
"S8",45.5,54.63,55.9875,55.573164556962,55.6277777777778,57.3714285714286,42.8588888888889
"S9",49.26,56.9246153846154,58.75,54.5341772151899,53.1666666666667,55.6714285714286,41.7755555555556
"S10",62.024,60.62,62.2575,59.9382278481013,62.1355555555556,61.1714285714286,58.3
"S11",61.784,56.885,63.3975,60.9411392405063,60.5222222222222,58.45,57.0966666666667
"S12",64.709,62.543,64.56,60.9430379746835,64.3622222222222,61.5142857142857,59.3166666666667
"S13",60.185,57.27,63.325,60.3575949367089,62.2888888888889,60.8928571428571,55.2777777777778
"S14",67.58,65.34,66.795,62.5281012658228,65.8444444444444,62.7714285714286,61.4044444444444
"S15",64.372,62.244,65.055,61.8708860759494,64.7422222222222,63.4,59.2888888888889
"S16",66.057,63.922,66.67625,65.4796202531646,64.9922222222222,64.5857142857143,60.8077777777778
"S17",68.732,66.158,68.22,67.4518987341772,67.0555555555556,66.3142857142857,64.5666666666667
