"Strategy","Grassland species","Burrow and den species","Sand dune species","Wetland and shorebird species","Amphibians","Fish species","Healthy prairie landscape"
"Baseline",57,56,65.625,63.6708860759494,62.2222222222222,65,49.4444444444444
"S1",67.88,62.912,71.625,68.5316455696203,68.2666666666667,68.2,62.9555555555556
"S2",60.162,56.765,66.2625,64.9620253164557,65.7922222222222,65,52.1644444444444
"S3",62.328,56.222,68.8625,64.420253164557,63.4555555555556,65,55.2
"S4",58.4,56.168,65.625,69.2283544303797,68.9422222222222,71,54.1111111111111
"S5",69.006,67.31,72.875,69.6250632911392,72.0177777777778,71.6285714285714,65.8777777777778
"S6",65.5,65.609375,73.125,68.4810126582278,69.1666666666667,68.5714285714286,61.6666666666667
"S7",64.48,67.22,67.75,66.9073417721519,67.36,66.4571428571429,58.7377777777778
"S8",56.17,63.885,68.7375,67.7053164556962,67.7555555555556,66.7785714285714,52.3033333333333
"S9",59.35,65.4,69.7375,65.0987341772152,63.7888888888889,65,51.8466666666667
"S10",72.174,70.04,74.8725,71.6751898734177,71.8222222222222,71.9428571428572,67.4444444444444
"S11",71.214,66.005,74.68125,70.3088607594937,69.5055555555556,68.45,65.9277777777778
"S12",74.214,71.39,76.09875,72.2930379746835,74.3822222222222,71.1071428571429,68.7611111111111
"S13",70.31,67.275,74.90625,71.4683544303797,72.4277777777778,70.5,64.7222222222222
"S14",76.712,74.88,78.585,73.8055696202532,75.52,72.3142857142857,70.7777777777778
"S15",74.472,71.624,76.615,72.8222784810127,74.6666666666667,72.2,68.2355555555555
"S16",75.117,73.568,77.3675,75.2454430379747,74.8966666666667,74.5857142857143,70.1166666666667
"S17",77.592,75.074,78.7425,76.7956962025316,77.2555555555556,76.3142857142857,73.6444444444444
