"Strategy","Grassland species","Burrow and den species","Sand dune species","Wetland and shorebird species","Amphibians","Fish species","Healthy prairie landscape"
"Baseline",29.5,29.5,41.25,38.7341772151899,38.3333333333333,43.5714285714286,31.1111111111111
"S1",39.1,38.268,44.45,43.2303797468354,44.0222222222222,46.7714285714286,40
"S2",33.733,32.56,42.20625,40.2512658227848,41.28,43.5714285714286,34.6244444444444
"S3",36.752,32.978,43.1,38.7341772151899,38.3333333333333,43.5714285714286,35.6333333333333
"S4",31.74,30.452,41.25,43.0653164556962,45.5013333333333,49.9714285714286,35.1555555555556
"S5",43.246,40.23,47.4125,46.6706329113924,49.0955555555556,49.7857142857143,43.0333333333333
"S6",38.25,38.0546875,46.875,45,45.2777777777778,47.1428571428571,39.4444444444444
"S7",36.64,40.856,42.95,42.3149367088608,43.7733333333333,47.4571428571429,38.44
"S8",31.575,40.29,43.84375,43.9453164556962,42.4833333333333,46.5357142857143,33.97
"S9",36.08,40.7221538461538,47.7125,42.5417721518987,41.4666666666667,45.5857142857143,32.8866666666667
"S10",46.024,43.81,50.16,48.5840506329114,49.7333333333333,50.5142857142857,44.6111111111111
"S11",43.714,41.23,48.15,43.2322784810127,45.6166666666667,47.5142857142857,42.6111111111111
"S12",49.336,45.46,50.29875,49.5930379746835,52.2666666666667,51.7142857142857,46.3111111111111
"S13",43.69,41.05,48.8125,47.2974683544304,48.8444444444444,49.8571428571429,42.4166666666667
"S14",51.58,48.38,51.01,50.6673417721519,52.9111111111111,53.1714285714286,47.4666666666667
"S15",48.708,45.124,49.79,50.2177215189873,51.7111111111111,53.5714285714286,45.4222222222222
"S16",47.678,46.519,52.23,49.8840506329114,52.2277777777778,54.0285714285714,47.0388888888889
"S17",51.148,47.848,53.13,51.9341772151899,54.4666666666667,55.3571428571429,50.5444444444444
