Strategy,Grassland species,Burrow and den species,Sand dune species,Wetland and shorebird species,Amphibians,Fish species,Healthy prairie landscape
Baseline,57,56,65.625,63.67088607594936,62.22222222222222,65,49.44444444444444
S1,67.88,62.912,71.625,68.53164556962025,68.26666666666667,68.2,62.955555555555556
S2,60.162,56.765,66.2625,64.9620253164557,65.79222222222222,65,52.16444444444444
S3,62.328,56.222,68.8625,64.42025316455695,63.455555555555556,65,55.2
S4,58.4,56.168,65.625,69.22835443037974,68.94222222222223,71,54.111111111111114
S5,69.006,67.31,72.875,69.62506329113924,72.01777777777778,71.62857142857143,65.87777777777777
S6,65.5,65.609375,73.125,68.48101265822784,69.16666666666667,68.57142857142857,61.666666666666664
S7,64.48,67.22,67.75,66.9073417721519,67.36,66.45714285714286,58.73777777777778
S8,56.17,63.885,68.7375,67.70531645569619,67.75555555555556,66.77857142857142,52.303333333333335
S9,59.35,65.4,69.7375,65.09873417721518,63.788888888888884,65,51.846666666666664
S10,72.174,70.04,74.8725,71.67518987341772,71.82222222222222,71.94285714285715,67.44444444444444
S11,71.214,66.005,74.68125,70.30886075949367,69.50555555555556,68.45,65.92777777777778
S12,74.214,71.39,76.09875,72.29303797468354,74.38222222222223,71.10714285714286,68.7611111111111
S13,70.31,67.275,74.90625,71.46835443037975,72.42777777777778,70.5,64.72222222222223
S14,76.712,74.88,78.58500000000001,73.80556962025315,75.52,72.31428571428572,70.77777777777777
S15,74.47200000000001,71.624,76.615,72.82227848101266,74.66666666666667,72.2,68.23555555555555
S16,75.117,73.568,77.3675,75.24544303797468,74.89666666666666,74.58571428571429,70.11666666666666
S17,77.592,75.074,78.7425,76.79569620253164,77.25555555555556,76.31428571428572,73.64444444444445
